Disease,Symptoms
Lupus,Butterfly-shaped rash;Scaly skin;Mouth sores;Sensitivity to sunlight
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Drug Eruption,Itching;Swelling;Rash;Fever
Lichen Planus,Inflammation;Itchy lesions
Lichen Planus,White lines;Purple flat-topped bumps
Drug Eruption,Fever;Itching;Swelling;Red spots;Rash
Infestations/Bites,Visible bites;Wheals;Swollen red spots
Drug Eruption,Red spots;Swelling
Tinea,"Peeling skin;Red, ring-shaped rash;Burning sensation"
Sun/Sunlight Damage,Sunburn;Dark spots;Rough patches;Freckles
Infestations/Bites,Visible bites;Lice;Swollen red spots;Itchy rash;Wheals
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Infestations/Bites,Itchy rash;Swollen red spots
Moles,Irregular border;Multicolored moles;Itchy moles;Dark spots;Raised moles
Vascular Tumors,Visible blood vessels;Painful nodules;Red or purple spots
Candidiasis,"Red, sore skin;Itchy rash;Swollen skin;White patches;Flaky skin"
Vitiligo,Irregular skin color;Loss of pigmentation
Skin Cancer,Bleeding lesions;Irregular borders;Asymmetrical growth;Changes in existing moles
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Actinic Keratosis,Crusting;Red or brown spots;Itchy spots;Sun damage
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Moles,Irregular border;Dark spots;Multicolored moles;Raised moles;Itchy moles
Moles,Irregular border;Itchy moles;Dark spots
Skin Cancer,Irregular borders;Changes in existing moles;Bleeding lesions;Asymmetrical growth
Infestations/Bites,Itchy rash;Swollen red spots;Wheals;Visible bites;Lice
Drug Eruption,Red spots;Rash;Hives;Fever
Psoriasis,Dry cracked skin;Red skin
Vasculitis,Rash;Red or purple patches
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Acne,Inflamed skin;Blackheads
Skin Cancer,Asymmetrical growth;Changes in existing moles;Bleeding lesions
Sun/Sunlight Damage,Freckles;Wrinkles;Dark spots
Tinea,"Itchy rash;Burning sensation;Blisters;Peeling skin;Red, ring-shaped rash"
Warts,Itchy warts;Bumps on skin;Rough texture;Hard lumps;Raised growths
Lichen Planus,Purple flat-topped bumps;White lines;Inflammation
Rosacea,Redness;Visible blood vessels;Eye irritation
Actinic Keratosis,"Itchy spots;Dry, scaly patches"
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Infestations/Bites,Swollen red spots;Lice;Visible bites;Wheals
Lupus,Butterfly-shaped rash;Red patches
Lupus,Mouth sores;Sensitivity to sunlight;Scaly skin
Candidiasis,Swollen skin;Itchy rash
Benign Tumors,Flesh-colored bumps;Non-cancerous growths;Soft lumps
Actinic Keratosis,"Sun damage;Dry, scaly patches"
Infestations/Bites,Lice;Visible bites;Wheals;Itchy rash;Swollen red spots
Lichen Planus,Purple flat-topped bumps;Inflammation
Psoriasis,Itchy patches;Dry cracked skin
Vascular Tumors,Swelling;Painful nodules;Visible blood vessels
Infestations/Bites,Visible bites;Lice;Wheals
Lichen Planus,White lines;Inflammation
Warts,Hard lumps;Rough texture;Itchy warts;Bumps on skin;Raised growths
Vascular Tumors,Painful nodules;Swelling
Drug Eruption,Hives;Red spots;Swelling;Rash;Itching
Tinea,Blisters;Peeling skin;Burning sensation
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Benign Tumors,Non-cancerous growths;Soft lumps
Warts,Hard lumps;Raised growths
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Acne,Oily skin;Whiteheads;Blackheads;Cystic acne;Inflamed skin
Rosacea,Redness;Burning sensation;Pimple-like bumps;Visible blood vessels
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Bullous Disorders,Painful blisters;Large fluid-filled blisters;Itchy blisters
Drug Eruption,Swelling;Itching;Red spots;Hives;Rash
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Tinea,Blisters;Itchy rash
Infestations/Bites,Visible bites;Itchy rash;Lice;Wheals;Swollen red spots
Actinic Keratosis,"Dry, scaly patches;Itchy spots;Sun damage"
Benign Tumors,Flesh-colored bumps;Non-cancerous growths
Candidiasis,"Red, sore skin;Itchy rash;White patches"
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules
Lupus,Sensitivity to sunlight;Butterfly-shaped rash
Acne,Pimples;Cystic acne;Whiteheads
Tinea,"Red, ring-shaped rash;Blisters;Itchy rash;Peeling skin"
Candidiasis,"White patches;Red, sore skin;Flaky skin;Swollen skin"
Skin Cancer,New growths;Irregular borders;Bleeding lesions;Changes in existing moles
Moles,Irregular border;Raised moles;Dark spots
Tinea,Burning sensation;Blisters;Itchy rash;Peeling skin
Moles,Multicolored moles;Raised moles;Itchy moles
Infestations/Bites,Swollen red spots;Lice;Itchy rash
Warts,Rough texture;Raised growths;Itchy warts;Bumps on skin;Hard lumps
Candidiasis,"Swollen skin;Red, sore skin;Flaky skin;Itchy rash"
Candidiasis,Flaky skin;White patches;Swollen skin;Itchy rash
Actinic Keratosis,"Sun damage;Crusting;Itchy spots;Dry, scaly patches;Red or brown spots"
Vascular Tumors,Painful nodules;Red or purple spots
Warts,Bumps on skin;Hard lumps;Itchy warts
Warts,Itchy warts;Rough texture;Raised growths;Bumps on skin
Lupus,Butterfly-shaped rash;Scaly skin
Benign Tumors,Soft lumps;Non-cancerous growths
Rosacea,Eye irritation;Redness;Burning sensation;Pimple-like bumps
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Sun/Sunlight Damage,Freckles;Dark spots;Rough patches
Acne,Cystic acne;Blackheads;Inflamed skin
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Unknown/Normal Variants,Normal pigmentation;Minor blemishes;No symptoms
Drug Eruption,Rash;Itching;Swelling
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Unknown/Normal Variants,No symptoms;Minor blemishes;Normal pigmentation
Infestations/Bites,Wheals;Swollen red spots;Itchy rash
Sun/Sunlight Damage,Rough patches;Wrinkles;Freckles;Dark spots
Actinic Keratosis,"Sun damage;Crusting;Dry, scaly patches;Itchy spots"
Actinic Keratosis,Red or brown spots;Itchy spots
Eczema,Blisters;Itchy skin;Redness;Swollen skin
Candidiasis,"Swollen skin;Red, sore skin;Itchy rash"
Warts,Bumps on skin;Hard lumps
Tinea,"Itchy rash;Red, ring-shaped rash"
Vascular Tumors,Visible blood vessels;Swelling
Lupus,Butterfly-shaped rash;Red patches
Vitiligo,Lightened skin;Irregular skin color;White patches
Lupus,Butterfly-shaped rash;Scaly skin
Eczema,Cracked skin;Swollen skin;Dry patches;Blisters
Moles,Dark spots;Itchy moles
Vascular Tumors,Painful nodules;Swelling
Drug Eruption,Swelling;Hives;Itching
Skin Cancer,New growths;Irregular borders;Bleeding lesions;Changes in existing moles;Asymmetrical growth
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Unknown/Normal Variants,No symptoms;Minor blemishes
Lichen Planus,Purple flat-topped bumps;Inflammation;Itchy lesions
Vascular Tumors,Red or purple spots;Visible blood vessels
Vasculitis,Fever;Skin sores;Rash;Red or purple patches;Swollen blood vessels
Tinea,"Peeling skin;Red, ring-shaped rash;Itchy rash"
Bullous Disorders,Itchy blisters;Large fluid-filled blisters
Acne,Cystic acne;Pimples;Whiteheads;Inflamed skin;Blackheads
Benign Tumors,Soft lumps;Non-cancerous growths
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Actinic Keratosis,Itchy spots;Red or brown spots
Drug Eruption,Itching;Red spots;Swelling;Hives
Drug Eruption,Rash;Hives;Red spots
Vascular Tumors,Visible blood vessels;Red or purple spots
Lichen Planus,Purple flat-topped bumps;Itchy lesions;Inflammation
Eczema,Cracked skin;Itchy skin;Blisters;Redness
Tinea,Peeling skin;Itchy rash;Burning sensation
Moles,Itchy moles;Raised moles;Dark spots;Irregular border
Candidiasis,"Swollen skin;Red, sore skin;Flaky skin"
Sun/Sunlight Damage,Sunburn;Freckles;Dark spots;Wrinkles;Rough patches
Rosacea,Burning sensation;Redness;Pimple-like bumps;Eye irritation
Acne,Cystic acne;Pimples
Benign Tumors,Non-cancerous growths;Soft lumps;Flesh-colored bumps
Benign Tumors,Soft lumps;Non-cancerous growths
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Moles,Raised moles;Multicolored moles;Itchy moles;Irregular border;Dark spots
Vitiligo,White patches;Lightened skin
Sun/Sunlight Damage,Sunburn;Dark spots;Wrinkles;Freckles;Rough patches
Vasculitis,Swollen blood vessels;Fever;Skin sores
Lupus,Scaly skin;Sensitivity to sunlight;Mouth sores;Red patches
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Scaly skin;Red patches;Mouth sores
Moles,Itchy moles;Raised moles;Irregular border
Warts,Itchy warts;Hard lumps;Raised growths;Bumps on skin;Rough texture
Drug Eruption,Fever;Hives;Rash;Itching;Red spots
Candidiasis,"Swollen skin;White patches;Itchy rash;Flaky skin;Red, sore skin"
Vasculitis,Red or purple patches;Swollen blood vessels
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Eczema,Redness;Itchy skin;Dry patches
Vascular Tumors,Swelling;Painful nodules;Red or purple spots;Visible blood vessels
Infestations/Bites,Itchy rash;Swollen red spots
Lichen Planus,Itchy lesions;White lines;Inflammation
Vitiligo,Loss of pigmentation;Lightened skin;White patches;Irregular skin color
Vasculitis,Fever;Skin sores;Rash
Acne,Pimples;Whiteheads;Oily skin;Inflamed skin;Cystic acne
Tinea,"Burning sensation;Red, ring-shaped rash;Blisters"
Lupus,Red patches;Butterfly-shaped rash;Mouth sores;Sensitivity to sunlight;Scaly skin
Vasculitis,Skin sores;Swollen blood vessels;Red or purple patches;Fever;Rash
Unknown/Normal Variants,Minor blemishes;Normal pigmentation
Infestations/Bites,Itchy rash;Lice;Swollen red spots;Visible bites
Acne,Cystic acne;Whiteheads;Oily skin
Tinea,Blisters;Itchy rash
Lichen Planus,Purple flat-topped bumps;White lines;Itchy lesions
Actinic Keratosis,"Dry, scaly patches;Red or brown spots;Itchy spots;Sun damage"
Candidiasis,"Flaky skin;Swollen skin;White patches;Red, sore skin;Itchy rash"
Tinea,Peeling skin;Burning sensation;Itchy rash;Blisters
Eczema,Itchy skin;Cracked skin;Redness
Bullous Disorders,Painful blisters;Large fluid-filled blisters
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions;Brown, black, or light-colored growths"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions;Itchy spots"
Candidiasis,"Itchy rash;Red, sore skin;White patches"
Warts,Hard lumps;Bumps on skin
Tinea,"Red, ring-shaped rash;Blisters;Burning sensation;Itchy rash"
Acne,Cystic acne;Oily skin;Whiteheads;Blackheads
Acne,Whiteheads;Cystic acne
Skin Cancer,New growths;Asymmetrical growth;Bleeding lesions
Actinic Keratosis,"Sun damage;Dry, scaly patches;Crusting;Red or brown spots;Itchy spots"
Vascular Tumors,Swelling;Visible blood vessels;Painful nodules;Red or purple spots
Rosacea,Pimple-like bumps;Burning sensation
Vitiligo,Lightened skin;White patches;Irregular skin color
Seborrheic Keratoses,"Brown, black, or light-colored growths;Itchy spots"
Acne,Whiteheads;Cystic acne
Sun/Sunlight Damage,Rough patches;Freckles;Sunburn
Psoriasis,Dry cracked skin;Thickened nails;Scaly skin;Itchy patches
Eczema,Blisters;Itchy skin;Swollen skin;Redness
Tinea,"Peeling skin;Blisters;Red, ring-shaped rash;Burning sensation"
Seborrheic Keratoses,"Brown, black, or light-colored growths;Waxy, raised lesions"
Warts,Itchy warts;Hard lumps
Eczema,Redness;Dry patches;Swollen skin;Itchy skin;Cracked skin
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Red patches;Mouth sores;Scaly skin
Actinic Keratosis,"Red or brown spots;Crusting;Sun damage;Dry, scaly patches;Itchy spots"
Moles,Irregular border;Dark spots
Rosacea,Burning sensation;Eye irritation;Visible blood vessels;Pimple-like bumps;Redness
Vasculitis,Swollen blood vessels;Red or purple patches;Fever;Rash
Skin Cancer,Irregular borders;Changes in existing moles;Bleeding lesions;Asymmetrical growth
Vascular Tumors,Painful nodules;Visible blood vessels;Red or purple spots
Sun/Sunlight Damage,Rough patches;Freckles;Dark spots;Wrinkles
Seborrheic Keratoses,"Itchy spots;Waxy, raised lesions"
Moles,Dark spots;Raised moles;Irregular border;Itchy moles
Lichen Planus,White lines;Purple flat-topped bumps
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots"
Acne,Oily skin;Cystic acne;Pimples;Inflamed skin;Whiteheads
Warts,Hard lumps;Bumps on skin
Benign Tumors,Non-cancerous growths;Soft lumps
Unknown/Normal Variants,Minor blemishes;Normal pigmentation;No symptoms
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Mouth sores;Scaly skin;Red patches
Skin Cancer,Irregular borders;New growths
Acne,Oily skin;Blackheads;Whiteheads
Lupus,Red patches;Sensitivity to sunlight;Scaly skin;Mouth sores
Drug Eruption,Red spots;Fever
Vascular Tumors,Red or purple spots;Painful nodules;Visible blood vessels
Vascular Tumors,Visible blood vessels;Red or purple spots;Swelling
Acne,Inflamed skin;Blackheads;Cystic acne;Oily skin;Whiteheads
Vasculitis,Rash;Fever;Red or purple patches;Swollen blood vessels;Skin sores
Skin Cancer,Changes in existing moles;Irregular borders;New growths
Unknown/Normal Variants,No symptoms;Minor blemishes
Rosacea,Visible blood vessels;Eye irritation
Skin Cancer,Bleeding lesions;Asymmetrical growth;New growths;Changes in existing moles;Irregular borders
Lupus,Scaly skin;Sensitivity to sunlight;Butterfly-shaped rash
Drug Eruption,Rash;Hives;Swelling
Tinea,"Itchy rash;Red, ring-shaped rash"
Moles,Irregular border;Dark spots
Vascular Tumors,Swelling;Painful nodules;Visible blood vessels;Red or purple spots
Vascular Tumors,Painful nodules;Swelling
Unknown/Normal Variants,No symptoms;Minor blemishes
Skin Cancer,Changes in existing moles;Irregular borders;New growths
Moles,Raised moles;Multicolored moles;Itchy moles
Moles,Irregular border;Multicolored moles
Eczema,Cracked skin;Itchy skin
Rosacea,Visible blood vessels;Burning sensation;Redness;Pimple-like bumps;Eye irritation
Tinea,Burning sensation;Itchy rash
Bullous Disorders,Itchy blisters;Large fluid-filled blisters;Painful blisters
Eczema,Blisters;Itchy skin
Actinic Keratosis,"Red or brown spots;Dry, scaly patches"
Lichen Planus,Purple flat-topped bumps;Inflammation;White lines;Itchy lesions
Rosacea,Redness;Visible blood vessels;Pimple-like bumps;Eye irritation
Drug Eruption,Red spots;Fever
Eczema,Dry patches;Redness
Psoriasis,Dry cracked skin;Red skin;Thickened nails;Itchy patches;Scaly skin
Actinic Keratosis,"Crusting;Itchy spots;Dry, scaly patches;Sun damage;Red or brown spots"
Warts,Hard lumps;Rough texture;Bumps on skin;Raised growths
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths;Waxy, raised lesions"
Acne,Oily skin;Blackheads;Pimples;Inflamed skin;Cystic acne
Skin Cancer,Changes in existing moles;Asymmetrical growth;Irregular borders;Bleeding lesions
Tinea,Peeling skin;Burning sensation;Blisters;Itchy rash
Unknown/Normal Variants,Normal pigmentation;No symptoms
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Drug Eruption,Red spots;Hives;Rash;Fever
Vitiligo,Lightened skin;Loss of pigmentation
Sun/Sunlight Damage,Wrinkles;Freckles;Dark spots;Sunburn
Skin Cancer,Irregular borders;New growths;Asymmetrical growth
Seborrheic Keratoses,"Waxy, raised lesions;Brown, black, or light-colored growths;Itchy spots"
Sun/Sunlight Damage,Dark spots;Freckles;Wrinkles
Infestations/Bites,Wheals;Lice
Moles,Raised moles;Irregular border;Multicolored moles;Dark spots;Itchy moles
Psoriasis,Red skin;Scaly skin
Vascular Tumors,Swelling;Painful nodules
Lupus,Mouth sores;Butterfly-shaped rash
Moles,Itchy moles;Multicolored moles;Raised moles;Dark spots
Actinic Keratosis,"Itchy spots;Crusting;Red or brown spots;Dry, scaly patches;Sun damage"
Acne,Whiteheads;Oily skin;Inflamed skin;Blackheads;Cystic acne
Unknown/Normal Variants,Minor blemishes;No symptoms
Vascular Tumors,Red or purple spots;Painful nodules;Swelling
Candidiasis,"Itchy rash;Flaky skin;White patches;Red, sore skin"
Skin Cancer,Bleeding lesions;Irregular borders
Skin Cancer,Bleeding lesions;Asymmetrical growth;Irregular borders
Seborrheic Keratoses,"Waxy, raised lesions;Itchy spots;Brown, black, or light-colored growths"
Tinea,"Red, ring-shaped rash;Burning sensation;Itchy rash;Peeling skin"
Unknown/Normal Variants,Minor blemishes;No symptoms
Infestations/Bites,Visible bites;Lice
Vascular Tumors,Painful nodules;Visible blood vessels
Lupus,Butterfly-shaped rash;Red patches;Mouth sores
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Drug Eruption,Itching;Swelling;Fever
Vascular Tumors,Red or purple spots;Visible blood vessels;Swelling
Vitiligo,Loss of pigmentation;Lightened skin;White patches
Vitiligo,White patches;Loss of pigmentation
Benign Tumors,Soft lumps;Flesh-colored bumps;Non-cancerous growths
Bullous Disorders,Painful blisters;Itchy blisters;Large fluid-filled blisters
Benign Tumors,Non-cancerous growths;Soft lumps
Candidiasis,White patches;Swollen skin;Itchy rash;Flaky skin
Benign Tumors,Soft lumps;Non-cancerous growths
Lichen Planus,White lines;Purple flat-topped bumps;Inflammation;Itchy lesions
Acne,Blackheads;Inflamed skin;Pimples
Vascular Tumors,Red or purple spots;Painful nodules
Vasculitis,Swollen blood vessels;Skin sores;Red or purple patches
Psoriasis,Scaly skin;Red skin;Itchy patches;Thickened nails;Dry cracked skin
Benign Tumors,Non-cancerous growths;Flesh-colored bumps;Soft lumps
Lupus,Butterfly-shaped rash;Sensitivity to sunlight;Scaly skin
Acne,Oily skin;Cystic acne
Rosacea,Redness;Eye irritation;Burning sensation
Tinea,"Itchy rash;Blisters;Red, ring-shaped rash"
Actinic Keratosis,Sun damage;Itchy spots;Red or brown spots
Vitiligo,Loss of pigmentation;Lightened skin;Irregular skin color;White patches
Sun/Sunlight Damage,Sunburn;Dark spots;Wrinkles;Freckles;Rough patches
Benign Tumors,Non-cancerous growths;Flesh-colored bumps
Psoriasis,Scaly skin;Itchy patches;Dry cracked skin
Infestations/Bites,Swollen red spots;Itchy rash
Seborrheic Keratoses,"Itchy spots;Brown, black, or light-colored growths"
Lupus,Mouth sores;Red patches;Scaly skin
Moles,Itchy moles;Dark spots;Multicolored moles;Irregular border
Bullous Disorders,Large fluid-filled blisters;Itchy blisters;Painful blisters
